session_id,session_length,unique_main_categories,most_freq_main_category,unique_models_viewed,unique_colours,most_freq_colour,avg_price_viewed,session_revenue_potential,max_price_viewed,max_page_reached,total_pages_viewed,month_first,day_first,country_first,purchase_completed
1,9,4,2,8,6,6,43.875,351.0,57.0,5,8,4,1,29,1
2,10,3,2,8,5,3,49.22222222222222,443.0,67.0,2,9,4,1,29,0
3,5,2,3,3,3,6,44.666666666666664,134.0,48.0,1,3,4,1,21,0
4,4,2,1,4,2,2,45.25,181.0,62.0,3,4,4,1,21,0
5,1,1,3,1,1,14,57.0,57.0,57.0,2,1,4,1,9,0
6,3,1,3,3,3,6,39.666666666666664,119.0,48.0,3,3,4,1,9,0
7,11,3,4,8,6,6,36.0,288.0,52.0,4,8,4,1,29,0
8,9,2,3,8,5,7,36.625,293.0,57.0,3,8,4,1,9,0
9,3,2,1,3,3,4,41.0,123.0,57.0,2,3,4,1,29,0
10,5,2,2,5,5,4,45.4,227.0,57.0,1,5,4,1,16,0
11,1,1,1,1,1,3,72.0,72.0,72.0,1,1,4,1,9,0
12,7,3,2,6,6,12,50.142857142857146,351.0,57.0,2,7,4,1,29,0
13,3,1,1,3,2,3,38.0,114.0,43.0,1,3,4,1,38,0
14,1,1,1,1,1,4,43.0,43.0,43.0,3,1,4,1,9,0
15,25,3,2,20,13,12,48.55,971.0,67.0,4,20,4,1,21,0
16,1,1,4,1,1,1,28.0,28.0,28.0,4,1,4,1,29,0
17,6,3,2,4,3,13,45.25,181.0,57.0,2,4,4,1,9,0
18,10,1,1,5,2,3,52.6,263.0,82.0,2,5,4,1,9,0
19,4,2,3,3,2,11,43.0,129.0,48.0,2,3,4,1,29,0
20,2,1,1,2,2,3,35.5,71.0,38.0,2,2,4,1,29,0
21,6,2,2,5,3,2,42.8,214.0,67.0,1,5,4,1,29,0
22,4,1,1,3,3,2,46.0,138.0,62.0,2,3,4,1,9,0
23,3,1,4,1,1,2,33.0,33.0,33.0,4,1,4,1,29,0
24,6,3,2,5,3,6,39.8,199.0,52.0,2,5,4,1,29,0
25,1,1,2,1,1,6,38.0,38.0,38.0,1,1,4,1,9,0
26,2,1,1,2,1,3,50.0,100.0,62.0,1,2,4,1,29,0
27,5,3,3,5,4,3,46.8,234.0,57.0,1,5,4,1,9,0
28,6,3,1,4,3,3,48.5,194.0,65.0,1,4,4,1,29,0
29,3,1,1,3,2,3,44.333333333333336,133.0,62.0,1,3,4,1,29,0
30,11,3,1,10,6,14,40.4,404.0,62.0,3,10,4,1,29,0
31,12,3,2,7,6,2,43.666666666666664,393.0,52.0,3,9,4,1,29,0
32,3,2,1,3,3,2,38.0,114.0,43.0,2,3,4,1,29,0
33,21,3,4,15,7,3,42.5,680.0,72.0,4,16,4,1,29,0
34,2,1,2,1,1,4,57.0,57.0,57.0,1,1,4,1,24,0
35,5,2,1,5,3,1,50.4,252.0,62.0,2,5,4,1,24,0
36,2,1,4,1,1,7,33.0,66.0,33.0,1,2,4,1,29,0
37,7,3,2,5,3,9,50.4,252.0,62.0,2,5,4,1,29,0
38,4,2,1,4,3,3,45.25,181.0,62.0,2,4,4,1,29,0
39,2,2,1,2,2,8,38.0,76.0,48.0,2,2,4,1,41,0
40,7,2,1,6,4,3,42.833333333333336,257.0,62.0,2,6,4,1,9,0
